ProcessID,Date,Start_LanguageModel,Time_Total,Version,PC,Method,Seed,SampleTrainRate,Count_SampleTrainLines,TestModel,SampleTestRate,Time_LanguageModel,Time_DownloadScript,Time_Download,Time_WriteCorpus,FileSize_Corpus,Count_CorpusLines,Time_CleanScript,Time_ReadCorpus,FileSize_TrainTokens,Count_WordTokens,Time_cleanCorpus,Count_TokensLines,Start_Ngram,Time_CreateNGram,Time_NGramData,Stop_Ngram,FileSize_Tokens
1,2017/07/31,17:14:22,232.0,Git 0.1,ASUS,mapreduce,17895,0.05,495396,no,0.01,232.0,0.0,,,651.73,12810361,3.0,,30.28,,,9907924,17:14:27,153.0,74.0,17:18:14,605.42
2,2017/07/31,17:18:14,461.0,Git 0.1,ASUS,mapreduce,17895,0.1,990792,no,0.01,460.0,0.0,,,651.73,12810361,3.0,,60.57,,,9907924,17:18:20,286.0,168.0,17:25:54,605.42
3,2017/07/31,17:25:56,764.0,Git 0.1,ASUS,mapreduce,17895,0.15,1486189,no,0.01,764.0,0.0,,,651.73,12810361,3.0,,90.86,,,9907924,17:26:04,452.0,304.0,17:38:40,605.42
4,2017/07/31,17:38:41,1121.0,Git 0.1,ASUS,mapreduce,17895,0.2,1981585,no,0.01,1121.0,0.0,,,651.73,12810361,3.0,,121.14,,,9907924,17:38:50,692.0,420.0,17:57:22,605.42
5,2017/07/31,17:57:36,1768.0,Git 0.1,ASUS,mapreduce,17895,0.25,2476981,no,0.01,1768.0,0.0,,,651.73,12810361,4.0,,151.4,,,9907924,17:57:47,1209.0,548.0,18:27:04,605.42
6,2017/07/31,18:27:21,2467.0,Git 0.1,ASUS,mapreduce,17895,0.3,2972377,no,0.01,2467.0,0.0,,,651.73,12810361,4.0,,181.6,,,9907924,18:27:34,1743.0,711.0,19:08:28,605.42
7,2017/07/31,19:08:44,3693.0,Git 0.1,ASUS,mapreduce,17895,0.35,3467773,no,0.01,3693.0,0.0,,,651.73,12810361,10.0,,211.92,,,9907924,19:09:05,2787.0,885.0,20:10:17,605.42
8,2017/07/31,20:10:36,5363.0,Git 0.1,ASUS,mapreduce,17895,0.4,3963170,no,0.01,5362.0,0.0,,,651.73,12810361,13.0,,242.19,,,9907924,20:11:03,4121.0,1214.0,21:39:58,605.42
1,2017/07/31,21:45:03,63.0,Git 0.1,ASUS,mapreduce,17895,0.01,99079,no,0.01,63.0,0.0,,,651.73,12810361,2.0,,6.08,,,9907924,21:45:07,43.0,16.0,21:46:06,605.42
2,2017/07/31,21:46:07,101.0,Git 0.1,ASUS,mapreduce,17895,0.02,198158,no,0.01,101.0,0.0,,,651.73,12810361,3.0,,12.13,,,9907924,21:46:12,63.0,33.0,21:47:48,605.42
3,2017/07/31,21:47:49,140.0,Git 0.1,ASUS,mapreduce,17895,0.03,297238,no,0.01,140.0,0.0,,,651.73,12810361,2.0,,18.18,,,9907924,21:47:54,84.0,51.0,21:50:09,605.42
4,2017/07/31,21:50:10,184.0,Git 0.1,ASUS,mapreduce,17895,0.04,396317,no,0.01,184.0,0.0,,,651.73,12810361,2.0,,24.23,,,9907924,21:50:15,109.0,70.0,21:53:14,605.42
5,2017/07/31,21:53:15,223.0,Git 0.1,ASUS,mapreduce,17895,0.05,495396,no,0.01,223.0,0.0,,,651.73,12810361,2.0,,30.28,,,9907924,21:53:20,133.0,85.0,21:56:58,605.42
6,2017/07/31,21:56:59,267.0,Git 0.1,ASUS,mapreduce,17895,0.06,594475,no,0.01,267.0,0.0,,,651.73,12810361,2.0,,36.34,,,9907924,21:57:04,160.0,102.0,22:01:26,605.42
7,2017/07/31,22:01:27,329.0,Git 0.1,ASUS,mapreduce,17895,0.07,693555,no,0.01,329.0,0.0,,,651.73,12810361,3.0,,42.42,,,9907924,22:01:33,198.0,125.0,22:06:56,605.42
8,2017/07/31,22:06:57,390.0,Git 0.1,ASUS,mapreduce,17895,0.08,792634,no,0.01,390.0,0.0,,,651.73,12810361,3.0,,48.46,,,9907924,22:07:04,227.0,156.0,22:13:27,605.42
9,2017/07/31,22:13:28,455.0,Git 0.1,ASUS,mapreduce,17895,0.09,891713,no,0.01,455.0,0.0,,,651.73,12810361,2.0,,54.51,,,9907924,22:13:34,257.0,192.0,22:21:03,605.42
10,2017/07/31,22:21:04,519.0,Git 0.1,ASUS,mapreduce,17895,0.1,990792,no,0.01,519.0,0.0,,,651.73,12810361,2.0,,60.57,,,9907924,22:21:12,292.0,218.0,22:29:43,605.42
1,2017/07/31,22:32:01,44.0,Git 0.1,ASUS,sequential,17895,0.01,99079,no,0.01,44.0,0.0,,,651.73,12810361,3.0,,6.08,,,9907924,22:32:06,5.0,18.0,22:32:45,605.42
2,2017/07/31,22:32:45,84.0,Git 0.1,ASUS,sequential,17895,0.02,198158,no,0.01,84.0,0.0,,,651.73,12810361,3.0,,12.13,,,9907924,22:32:50,9.0,37.0,22:34:09,605.42
3,2017/07/31,22:34:09,124.0,Git 0.1,ASUS,sequential,17895,0.03,297238,no,0.01,124.0,0.0,,,651.73,12810361,3.0,,18.18,,,9907924,22:34:14,14.0,56.0,22:36:13,605.42
4,2017/07/31,22:36:13,164.0,Git 0.1,ASUS,sequential,17895,0.04,396317,no,0.01,164.0,0.0,,,651.73,12810361,3.0,,24.23,,,9907924,22:36:18,18.0,75.0,22:38:57,605.42
5,2017/07/31,22:38:58,208.0,Git 0.1,ASUS,sequential,17895,0.05,495396,no,0.01,208.0,0.0,,,651.73,12810361,2.0,,30.28,,,9907924,22:39:03,22.0,97.0,22:42:26,605.42
6,2017/07/31,22:42:26,252.0,Git 0.1,ASUS,sequential,17895,0.06,594475,no,0.01,252.0,0.0,,,651.73,12810361,3.0,,36.34,,,9907924,22:42:32,27.0,115.0,22:46:38,605.42
7,2017/07/31,22:46:38,292.0,Git 0.1,ASUS,sequential,17895,0.07,693555,no,0.01,292.0,0.0,,,651.73,12810361,3.0,,42.42,,,9907924,22:46:44,31.0,133.0,22:51:30,605.42
8,2017/07/31,22:51:30,331.0,Git 0.1,ASUS,sequential,17895,0.08,792634,no,0.01,331.0,0.0,,,651.73,12810361,3.0,,48.46,,,9907924,22:51:36,34.0,153.0,22:57:01,605.42
9,2017/07/31,22:57:01,372.0,Git 0.1,ASUS,sequential,17895,0.09,891713,no,0.01,372.0,0.0,,,651.73,12810361,4.0,,54.51,,,9907924,22:57:08,39.0,172.0,23:03:13,605.42
10,2017/07/31,23:05:32,403.0,Git 0.1,ASUS,sequential,17895,0.1,990792,no,0.01,403.0,0.0,,,651.73,12810361,2.0,,60.57,,,9907924,23:05:38,42.0,189.0,23:12:15,605.42
1,2017/07/31,23:23:41,43.0,Git 0.1,ASUS,sequential,17895,0.01,99079,no,0.01,43.0,0.0,,,651.73,12810361,2.0,,6.08,,,9907924,23:23:45,21.0,18.0,23:24:24,605.42
2,2017/07/31,23:24:25,83.0,Git 0.1,ASUS,sequential,17895,0.02,198158,no,0.01,83.0,0.0,,,651.73,12810361,3.0,,12.13,,,9907924,23:24:30,41.0,37.0,23:25:48,605.42
3,2017/07/31,23:25:49,121.0,Git 0.1,ASUS,sequential,17895,0.03,297238,no,0.01,121.0,0.0,,,651.73,12810361,2.0,,18.18,,,9907924,23:25:54,60.0,56.0,23:27:50,605.42
4,2017/07/31,23:27:51,164.0,Git 0.1,ASUS,sequential,17895,0.04,396317,no,0.01,164.0,0.0,,,651.73,12810361,3.0,,24.23,,,9907924,23:27:56,82.0,77.0,23:30:35,605.42
